Date,AAPL,TSLA,SP500
2012-09-13,20.569,1.96533,1459.99
2012-09-14,20.8214,2.026,1465.77
2012-09-17,21.0778,2.16933,1461.19
2012-09-18,21.1425,2.08933,1459.32
2012-09-19,21.1475,2.07,1461.05
2012-09-20,21.0463,2.06,1460.26
2012-09-21,21.0877,2.00133,1460.15
2012-09-24,20.8077,2.044,1456.89
2012-09-25,20.289,1.844,1441.59
2012-09-26,20.0339,1.836,1433.32
2012-09-27,20.5218,1.89933,1447.15
2012-09-28,20.0928,1.952,1440.67
2012-10-01,19.8609,1.944,1444.49
2012-10-02,19.9169,1.98667,1445.75
2012-10-03,20.2252,1.95333,1450.99
2012-10-04,20.0838,1.96,1461.4
2012-10-05,19.6567,1.926,1460.93
2012-10-08,19.2227,1.95,1455.88
2012-10-09,19.1518,1.89133,1441.48
2012-10-10,19.303,1.89333,1432.56
2012-10-11,18.918,1.888,1432.84
2012-10-12,18.9671,1.84267,1428.59
2012-10-15,19.1194,1.822,1440.13
2012-10-16,19.5722,1.87067,1454.92
2012-10-17,19.415,1.92127,1460.91
2012-10-18,19.0556,1.86933,1457.34
2012-10-19,18.3691,1.84933,1433.19
2012-10-22,19.0976,1.85667,1433.82
2012-10-23,18.474,1.89267,1413.11
2012-10-24,18.5792,1.828,1408.75
2012-10-25,18.3591,1.83467,1412.97
2012-10-26,18.1922,1.82533,1411.94
2012-10-31,17.9319,1.8754,1412.16
2012-11-01,17.9663,1.94967,1427.59
2012-11-02,17.3723,1.92787,1414.2
2012-11-05,17.6088,2.1,1417.26
2012-11-06,17.5557,2.07667,1428.39
2012-11-07,16.884,2.10267,1394.53
2012-11-08,16.2721,2.08733,1377.51
2012-11-09,16.5519,2.02133,1379.85
2012-11-12,16.4254,2.07133,1380.03
2012-11-13,16.4274,2.1076,1374.53
2012-11-14,16.2447,2.092,1355.49
2012-11-15,15.9037,2.05467,1353.33
2012-11-16,15.9667,2.12267,1359.88
2012-11-19,17.1167,2.19467,1386.89
2012-11-20,16.9721,2.2,1387.81
2012-11-21,16.9959,2.16467,1391.03
2012-11-23,17.2917,2.142,1409.15
2012-11-26,17.8377,2.15133,1406.29
2012-11-27,17.695,2.14333,1398.94
2012-11-28,17.6382,2.214,1409.93
2012-11-29,17.8317,2.246,1415.95
2012-11-30,17.7109,2.25467,1416.18
2012-12-03,17.7366,2.308,1409.46
2012-12-04,17.4231,2.26,1407.05
2012-12-05,16.3035,2.24733,1409.28
2012-12-06,16.5578,2.26,1413.94
2012-12-07,16.1336,2.278,1418.07
2012-12-10,16.0306,2.30467,1418.55
2012-12-11,16.382,2.352,1427.84
2012-12-12,16.3105,2.35067,1428.48
2012-12-13,16.0266,2.24067,1419.45
2012-12-14,15.4244,2.254,1413.58
2012-12-17,15.7006,2.29333,1430.36
2012-12-18,16.1532,2.306,1446.79
2012-12-19,15.9256,2.30733,1435.81
2012-12-20,15.7851,2.29533,1443.69
2012-12-21,15.7142,2.26667,1430.15
2012-12-24,15.7398,2.28533,1426.66
2012-12-26,15.5219,2.23933,1419.83
2012-12-27,15.5848,2.246,1418.1
2012-12-28,15.4187,2.21467,1402.43
2012-12-31,16.1013,2.258,1426.19
2013-01-02,16.6128,2.35733,1462.42
2013-01-03,16.4027,2.318,1459.37
2013-01-04,15.9469,2.29333,1466.47
2013-01-07,15.8509,2.28933,1461.89
2013-01-08,15.894,2.24533,1457.15
2013-01-09,15.6464,2.24267,1461.02
2013-01-10,15.8379,2.23533,1472.12
2013-01-11,15.7437,2.194,1472.05
2013-01-14,15.182,2.21733,1470.68
2013-01-15,14.7015,2.26,1472.34
2013-01-16,15.3127,2.27333,1472.63
2013-01-17,15.2104,2.292,1480.94
2013-01-18,15.1288,2.30133,1485.98
